          nEv  nVtx   nTrk      xVtx      yVtx       zVtx      trkPt    trkEta  trkNHit  trkNlayer  highPurity
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.988567  1.694629       19         14        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.984620  2.347874       14         10        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.982142  1.791664        4          4        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.969796  0.677447       17         11        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.962316  1.191807        9          8        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.959877  1.012301        5          5        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.959260 -1.673832       22         14        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.951703  1.324424       15         13        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.949167 -0.155998       17         13        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.948698  1.322302       18         12        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.948446 -0.455376       15         11        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.947562 -1.849760       25         16        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.946584  1.497909       21         16        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.944826 -0.480617       18         13        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.940928  1.912735       15         12        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.939301  0.214891       19         13        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.937798  1.943566       26         17        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.937467 -2.267687       20         12        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.934919  0.971235       16         13        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.920582  0.613516       15         12        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.917342  1.791080       22         17        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.916853 -0.170765       15         11        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.913957  0.120055        4          4        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.912886 -1.333201       17         13        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.908965 -2.318769       22         13        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.905138  0.240164       18         13        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.904947 -2.336075       18         12        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.900576 -2.159990       23         13        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.897213 -1.884262       19         13        True
