         nEv  nVtx  nTrk      xVtx      yVtx       zVtx      trkPt    trkEta  trkNHit  trkNlayer  highPurity
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.792998 -1.112099       15         11        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.790467 -1.760444       12          8        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.787910 -0.461455       16         13        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.782541  1.365772       12         12        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.778558 -1.162739       18         11        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.776471  2.270900       16         11        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.770132 -0.173216       13         13        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.764430  0.489174       17         14        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.761660 -2.208507       17         13        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.760568  0.445306        5          5        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.758867 -0.668950       19         12        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.756638  0.283276       17         13        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.753442  0.386849       19         13        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.739564  0.152355       15         13        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.738978  1.722959       17          9        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.736831 -2.931253        3          3        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.730313 -0.022678       13         10        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.729041 -2.616148        6          5        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.724936 -1.028173        5          5        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.721758  0.944696       14         11        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.712630  2.423147       13          8        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.708779 -1.938704       25         15        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.707261  0.586281       16         12        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.701436 -0.428299       17         11        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.699025 -1.001072       11          8        True
